INSERT INTO
bookhasauthor(isbn, authorId)
(1000000842,'2'),
(1000000842,'26'),
(1000000843,'16'),
(1000000843,'17'),
(1000000844,'3'),
(1000000844,'4'),
(1000000845,'5'),
(1000000845,'18'),
(1000000845,'6'),
(1000000846,'7'),
(1000000846,'19'),
(1000000846,'20'),
(1000000847,'27'),
(1000000847,'8'),
(1000000847,'9'),
(1000000848,'21'),
(1000000849,'22'),
(1000000849,'30'),
(1000000849,'10'),
(1000000850,'28'),
(1000000850,'23'),
(1000000850,'11'),
(1000000851,'12'),
(1000000851,'29'),
(1000000851,'13'),
(1000000852,'14'),
(1000000853,'15'),
(1000000853,'24'),
(1000000854,'25'),
(1000000854,'1'),
(1000000855,'2'),
(1000000855,'26'),
(1000000856,'16'),
(1000000857,'17'),
(1000000858,'3'),
(1000000859,'4'),
(1000000860,'5'),
(1000000860,'18'),
(1000000861,'6'),
(1000000862,'7'),
(1000000862,'19'),
(1000000863,'20'),
(1000000864,'27'),
(1000000864,'8'),
(1000000864,'9'),
(1000000865,'21'),
(1000000866,'22'),
(1000000866,'30'),
(1000000867,'10'),
(1000000867,'28'),
(1000000868,'23'),
(1000000869,'11'),
(1000000870,'12'),
(1000000870,'29'),
(1000000871,'13'),
(1000000871,'14'),
(1000000871,'15'),
(1000000872,'24'),
(1000000872,'25'),
(1000000872,'1'),
(1000000873,'2'),
(1000000873,'26'),
(1000000873,'16'),
(1000000874,'17'),
(1000000874,'3'),
(1000000875,'4'),
(1000000875,'5'),
(1000000875,'18'),
(1000000876,'6'),
(1000000877,'7'),
(1000000877,'19'),
(1000000878,'20'),
(1000000878,'27'),
(1000000878,'8'),
(1000000879,'9'),
(1000000880,'21'),
(1000000880,'22'),
(1000000880,'30'),
(1000000881,'10'),
(1000000881,'28'),
(1000000881,'23'),
(1000000882,'11'),
(1000000883,'12'),
(1000000883,'29'),
(1000000884,'13'),
(1000000884,'14'),
(1000000885,'15'),
(1000000885,'24'),
(1000000886,'25'),
(1000000886,'1'),
(1000000886,'2'),
(1000000887,'26'),
(1000000888,'16'),
(1000000888,'17'),
(1000000889,'3'),
(1000000889,'4'),
(1000000890,'5'),
(1000000891,'18'),
(1000000891,'6'),
(1000000892,'7'),
(1000000892,'19'),
(1000000893,'20'),
(1000000893,'27'),
(1000000894,'8'),
(1000000894,'9'),
(1000000895,'21'),
(1000000895,'22'),
(1000000895,'30'),
(1000000896,'10'),
(1000000897,'28'),
(1000000898,'23'),
(1000000899,'11'),
(1000000900,'12'),
(1000000900,'29'),
(1000000900,'13'),
(1000000901,'14'),
(1000000902,'15'),
(1000000903,'24'),
(1000000903,'25'),
(1000000903,'1'),
(1000000904,'2'),
(1000000904,'26'),
(1000000904,'16'),
(1000000905,'17'),
(1000000905,'3'),
(1000000905,'4'),
(1000000906,'5'),
(1000000906,'18'),
(1000000907,'6'),
(1000000907,'7'),
(1000000907,'19'),
(1000000908,'20'),
(1000000908,'27'),
(1000000909,'8'),
(1000000910,'9'),
(1000000910,'21'),
(1000000910,'22'),
(1000000911,'30'),
(1000000912,'10'),
(1000000912,'28'),
(1000000913,'23'),
(1000000913,'11'),
(1000000914,'12'),
(1000000915,'29'),
(1000000916,'13'),
(1000000917,'14'),
(1000000917,'15'),
(1000000917,'24'),
(1000000918,'25'),
(1000000919,'1'),
(1000000919,'2'),
(1000000919,'26'),
(1000000920,'16'),
(1000000921,'17'),
(1000000921,'3'),
(1000000922,'4'),
(1000000923,'5'),
(1000000924,'18'),
(1000000925,'6'),
(1000000925,'7'),
(1000000925,'19'),
(1000000926,'20'),
(1000000926,'27'),
(1000000926,'8'),
(1000000927,'9'),
(1000000928,'21'),
(1000000929,'22'),
(1000000930,'30'),
(1000000930,'10'),
(1000000931,'28'),
(1000000932,'23'),
(1000000932,'11'),
(1000000933,'12'),
(1000000934,'29'),
(1000000934,'13'),
(1000000934,'14'),
(1000000935,'15'),
(1000000935,'24'),
(1000000935,'25'),
(1000000936,'1'),
(1000000936,'2'),
(1000000937,'26'),
(1000000937,'16'),
(1000000938,'17'),
(1000000938,'3'),
(1000000938,'4'),
(1000000939,'5'),
(1000000940,'18'),
(1000000940,'6'),
(1000000941,'7'),
(1000000941,'19'),
(1000000942,'20'),
(1000000942,'27'),
(1000000943,'8'),
(1000000944,'9'),
(1000000944,'21'),
(1000000944,'22'),
(1000000945,'30'),
(1000000946,'10'),
(1000000947,'28'),
(1000000947,'23'),
(1000000947,'11'),
(1000000948,'12'),
(1000000948,'29'),
(1000000949,'13'),
(1000000949,'14'),
(1000000949,'15'),
(1000000950,'24'),
(1000000950,'25'),
(1000000951,'1'),
(1000000951,'2'),
(1000000952,'26'),
(1000000952,'16'),
(1000000953,'17'),
(1000000954,'3'),
(1000000955,'4'),
(1000000955,'5'),
(1000000956,'18'),
(1000000956,'6'),
(1000000956,'7'),
(1000000957,'19'),
(1000000958,'20'),
(1000000959,'27'),
(1000000959,'8'),
(1000000959,'9'),
(1000000960,'21'),
(1000000960,'22'),
(1000000960,'30'),
(1000000961,'10'),
(1000000962,'28'),
(1000000962,'23'),
(1000000963,'11'),
(1000000964,'12'),
(1000000964,'29'),
(1000000965,'13'),
(1000000965,'14'),
(1000000966,'15'),
(1000000966,'24'),
(1000000967,'25'),
(1000000967,'1'),
(1000000968,'2'),
(1000000968,'26'),
(1000000969,'16'),
(1000000969,'17'),
(1000000969,'3'),
(1000000970,'4'),
(1000000971,'5'),
(1000000971,'18'),
(1000000972,'6'),
(1000000972,'7'),
(1000000972,'19'),
(1000000973,'20'),
(1000000973,'27'),
(1000000974,'8'),
(1000000974,'9'),
(1000000975,'21'),
(1000000975,'22'),
(1000000975,'30'),
(1000000976,'10'),
(1000000977,'28'),
(1000000977,'23'),
(1000000978,'11'),
(1000000978,'12'),
(1000000979,'29'),
(1000000979,'13'),
(1000000980,'14'),
(1000000981,'15'),
(1000000982,'24'),
(1000000982,'25'),
(1000000982,'1'),
(1000000983,'2'),
(1000000983,'26'),
(1000000983,'16'),
(1000000984,'17'),
(1000000984,'3'),
(1000000985,'4'),
(1000000986,'5'),
(1000000986,'18'),
(1000000986,'6'),
(1000000987,'7'),
(1000000988,'19'),
(1000000989,'20'),
(1000000989,'27'),
(1000000989,'8'),
(1000000990,'9'),
(1000000990,'21'),
(1000000991,'22'),
(1000000992,'30'),
(1000000992,'10'),
(1000000993,'28'),
(1000000993,'23'),
(1000000993,'11'),
(1000000994,'12'),
(1000000994,'29'),
(1000000995,'13'),
(1000000995,'14'),
(1000000995,'15'),
(1000000996,'24'),
(1000000996,'25'),
(1000000996,'1'),
(1000000997,'2'),
(1000000997,'26'),
(1000000997,'16'),
(1000000998,'17'),
(1000000998,'3'),
(1000000998,'4'),
(1000000999,'5'),
(1000000999,'18'),
(1000000999,'6'),
(1000001000,'7'),
(1000001001,'19'),
(1000001001,'20'),
(1000001001,'27'),
(1000001002,'8'),
(1000001002,'9'),
(1000001003,'21'),
(1000001003,'22'),
(1000001003,'30'),
(1000001004,'10'),
(1000001004,'28'),
(1000001004,'23'),
(1000001005,'11'),
(1000001005,'12'),
(1000001005,'29'),
(1000001006,'13'),
(1000001007,'14'),
(1000001007,'15'),
(1000001008,'24'),
(1000001008,'25'),
(1000001009,'1'),
(1000001010,'2'),
(1000001011,'26'),
(1000001012,'16'),
(1000001013,'17'),
(1000001013,'3'),
(1000001014,'4'),
(1000001014,'5'),
(1000001015,'18'),
(1000001016,'6'),
(1000001016,'7'),
(1000001017,'19'),
(1000001018,'20'),
(1000001018,'27'),
(1000001018,'8'),
(1000001019,'9'),
(1000001020,'21'),
(1000001021,'22'),
(1000001021,'30'),
(1000001022,'10'),
(1000001023,'28'),
(1000001023,'23'),
(1000001023,'11'),
(1000001024,'12'),
(1000001025,'29'),
(1000001026,'13'),
(1000001027,'14'),
(1000001028,'15'),
(1000001028,'24'),
(1000001029,'25'),
(1000001029,'1'),
(1000001030,'2'),
(1000001031,'26'),
(1000001031,'16'),
(1000001032,'17'),
(1000001033,'3'),
(1000001033,'4'),
(1000001033,'5'),
(1000001034,'18'),
(1000001034,'6'),
(1000001035,'7'),
(1000001035,'19'),
(1000001036,'20'),
(1000001036,'27'),
(1000001037,'8'),
(1000001037,'9'),
(1000001037,'21'),
(1000001038,'22'),
(1000001038,'30'),
(1000001038,'10'),
(1000001039,'28'),
(1000001039,'23'),
(1000001039,'11'),
(1000001040,'12'),
(1000001040,'29'),
(1000001040,'13'),
(1000001041,'14'),
(1000001041,'15'),
(1000001042,'24'),
(1000001043,'25'),
(1000001044,'1'),
(1000001045,'2'),
(1000001046,'26'),
(1000001046,'16'),
(1000001046,'17'),
(1000001047,'3'),
(1000001047,'4'),
(1000001048,'5'),
(1000001048,'18'),
(1000001049,'6'),
(1000001049,'7'),
(1000001049,'19'),
(1000001050,'20'),
(1000001050,'27'),
(1000001050,'8'),
(1000001051,'9'),
(1000001051,'21'),
(1000001051,'22'),
(1000001052,'30'),
(1000001052,'10'),
(1000001053,'28'),
(1000001053,'23'),
(1000001053,'11'),
(1000001054,'12'),
(1000001054,'29'),
(1000001055,'13'),
(1000001055,'14'),
(1000001055,'15'),
(1000001056,'24'),
(1000001056,'25'),
(1000001056,'1'),
(1000001057,'2'),
(1000001058,'26'),
(1000001058,'16'),
(1000001058,'17'),
(1000001059,'3'),
(1000001060,'4'),
(1000001061,'5'),
(1000001061,'18'),
(1000001062,'6'),
(1000001062,'7'),
(1000001063,'19'),
(1000001064,'20'),
(1000001064,'27'),
(1000001064,'8'),
(1000001065,'9'),
(1000001065,'21'),
(1000001066,'22'),
(1000001067,'30'),
(1000001067,'10'),
(1000001068,'28'),
(1000001068,'23'),
(1000001068,'11'),
(1000001069,'12'),
(1000001070,'29'),
(1000001070,'13'),
(1000001071,'14'),
(1000001072,'15'),
(1000001073,'24'),
(1000001074,'25'),
(1000001074,'1'),
(1000001074,'2'),
(1000001075,'26'),
(1000001075,'16'),
(1000001076,'17'),
(1000001076,'3'),
(1000001076,'4'),
(1000001077,'5'),
(1000001077,'18'),
(1000001078,'6'),
(1000001079,'7'),
(1000001079,'19'),
(1000001080,'20'),
(1000001080,'27'),
(1000001080,'8'),
(1000001081,'9'),
(1000001081,'21'),
(1000001082,'22'),
(1000001082,'30'),
(1000001082,'10'),
(1000001083,'28'),
(1000001084,'23'),
(1000001085,'11'),
(1000001086,'12'),
(1000001087,'29'),
(1000001087,'13'),
(1000001087,'14'),
(1000001088,'15'),
(1000001088,'24'),
(1000001089,'25'),
(1000001089,'1'),
(1000001089,'2'),
(1000001090,'26'),
(1000001090,'16'),
(1000001090,'17'),
(1000001091,'3'),
(1000001091,'4'),
(1000001092,'5'),
(1000001092,'18'),
(1000001092,'6'),
(1000001093,'7'),
(1000001094,'19'),
(1000001094,'20'),
(1000001095,'27'),
(1000001095,'8'),
(1000001095,'9'),
(1000001096,'21'),
(1000001096,'22'),
(1000001096,'30'),
(1000001097,'10'),
(1000001098,'28'),
(1000001098,'23'),
(1000001099,'11'),
(1000001100,'12'),
(1000001101,'29'),
(1000001101,'13'),
(1000001102,'14'),
(1000001103,'15'),
(1000001103,'24'),
(1000001103,'25'),
(1000001104,'1'),
(1000001104,'2'),
(1000001104,'26'),
(1000001105,'16'),
(1000001105,'17'),
(1000001105,'3'),
(1000001106,'4'),
(1000001106,'5'),
(1000001107,'18'),
(1000001107,'6'),
(1000001108,'7'),
(1000001108,'19'),
(1000001108,'20'),
(1000001109,'27'),
(1000001110,'8'),
(1000001111,'9'),
(1000001111,'21'),
(1000001112,'22'),
(1000001112,'30'),
(1000001113,'10'),
(1000001113,'28'),
(1000001113,'23'),
(1000001114,'11'),
(1000001114,'12'),
(1000001114,'29'),
(1000001115,'13'),
(1000001115,'14'),
(1000001115,'15'),
(1000001116,'24'),
(1000001117,'25'),
(1000001117,'1'),
(1000001118,'2'),
(1000001118,'26'),
(1000001119,'16'),
(1000001119,'17'),
(1000001120,'3'),
(1000001121,'4'),
(1000001121,'5'),
(1000001122,'18'),
(1000001122,'6'),
(1000001122,'7'),
(1000001123,'19'),
(1000001123,'20'),
(1000001124,'27'),
(1000001124,'8'),
(1000001124,'9'),
(1000001125,'21'),
(1000001125,'22'),
(1000001125,'30'),
(1000001126,'10'),
(1000001127,'28'),
(1000001127,'23'),
(1000001127,'11'),
(1000001128,'12'),
(1000001128,'29'),
(1000001128,'13'),
(1000001129,'14'),
(1000001129,'15'),
(1000001130,'24'),
(1000001130,'25'),
(1000001130,'1'),
(1000001131,'2'),
(1000001131,'26'),
(1000001132,'16'),
(1000001133,'17'),
(1000001134,'3'),
(1000001135,'4'),
(1000001136,'5'),
(1000001136,'18'),
(1000001136,'6'),
(1000001137,'7'),
(1000001137,'19'),
(1000001138,'20'),
(1000001139,'27'),
(1000001140,'8'),
(1000001140,'9'),
(1000001140,'21'),
(1000001141,'22'),
(1000001142,'30'),
(1000001142,'10'),
(1000001143,'28'),
(1000001143,'23'),
(1000001144,'11'),
(1000001144,'12'),
(1000001145,'29'),
(1000001145,'13'),
(1000001145,'14'),
(1000001146,'15'),
(1000001146,'24'),
(1000001146,'25'),
(1000001147,'1'),
(1000001147,'2'),
(1000001147,'26'),
(1000001148,'16'),
(1000001149,'17'),
(1000001149,'3'),
(1000001149,'4'),
(1000001150,'5'),
(1000001150,'18'),
(1000001151,'6'),
(1000001152,'7'),
(1000001152,'19'),
(1000001152,'20'),
(1000001153,'27'),
(1000001154,'8'),
(1000001155,'9'),
(1000001155,'21'),
(1000001156,'22'),
(1000001156,'30'),
(1000001156,'10'),
(1000001157,'28'),
(1000001157,'23'),
(1000001158,'11'),
(1000001159,'12'),
(1000001159,'29'),
(1000001159,'13'),
(1000001160,'14'),
(1000001161,'15'),
(1000001161,'24'),
(1000001161,'25'),
(1000001162,'1'),
(1000001162,'2'),
(1000001163,'26'),
(1000001163,'16'),
(1000001164,'17'),
(1000001164,'3'),
(1000001165,'4'),
(1000001166,'5'),
(1000001166,'18'),
(1000001166,'6'),
(1000001167,'7'),
(1000001168,'19'),
(1000001168,'20'),
(1000001169,'27'),
(1000001170,'8'),
(1000001170,'9'),
(1000001170,'21'),
(1000001171,'22'),
(1000001171,'30'),
(1000001171,'10'),
(1000001172,'28'),
(1000001172,'23'),
(1000001172,'11'),
(1000001173,'12'),
(1000001173,'29'),
(1000001173,'13'),
(1000001174,'14'),
(1000001174,'15'),
(1000001175,'24'),
(1000001175,'25'),
(1000001176,'1'),
(1000001176,'2'),
(1000001177,'26'),
(1000001177,'16'),
(1000001177,'17'),
(1000001178,'3'),
(1000001178,'4'),
(1000001179,'5'),
(1000001180,'18'),
(1000001180,'6'),
(1000001180,'7'),
(1000001181,'19'),
(1000001182,'20'),
(1000001182,'27'),
(1000001182,'8'),
(1000001183,'9'),
(1000001183,'21'),
(1000001183,'22'),
(1000001184,'30'),
(1000001184,'10'),
(1000001185,'28'),
(1000001185,'23'),
(1000001186,'11'),
(1000001186,'12'),
(1000001187,'29'),
(1000001187,'13'),
(1000001188,'14'),
(1000001188,'15'),
(1000001188,'24'),
(1000001189,'25'),
(1000001190,'1'),
(1000001190,'2'),
(1000001191,'26'),
(1000001191,'16'),
(1000001191,'17'),
(1000001192,'3'),
(1000001192,'4'),
(1000001192,'5'),
(1000001193,'18'),
(1000001193,'6'),
(1000001193,'7'),
(1000001194,'19'),
(1000001194,'20'),
(1000001195,'27'),
(1000001195,'8'),
(1000001196,'9'),
(1000001196,'21'),
(1000001197,'22'),
(1000001197,'30'),
(1000001197,'10'),
(1000001198,'28'),
(1000001199,'23'),
(1000001200,'11'),
(1000001200,'12'),
(1000001201,'29'),
(1000001201,'13'),
(1000001201,'14'),
(1000001202,'15'),
(1000001202,'24'),
(1000001202,'25'),
(1000001203,'1'),
(1000001203,'2'),
(1000001204,'26'),
(1000001204,'16'),
(1000001205,'17'),
(1000001205,'3'),
(1000001205,'4'),
(1000001206,'5'),
(1000001206,'18'),
(1000001206,'6'),
(1000001207,'7'),
(1000001208,'19'),
(1000001208,'20'),
(1000001208,'27'),
(1000001209,'8'),
(1000001209,'9'),
(1000001209,'21'),
(1000001210,'22'),
(1000001210,'30'),
(1000001211,'10'),
(1000001211,'28'),
(1000001211,'23'),
(1000001212,'11'),
(1000001212,'12'),
(1000001213,'29'),
(1000001214,'13'),
(1000001215,'14'),
(1000001215,'15'),
(1000001215,'24'),
(1000001216,'25'),
(1000001216,'1'),
(1000001217,'2'),
(1000001217,'26'),
(1000001217,'16'),
(1000001218,'17'),
(1000001218,'3'),
(1000001218,'4'),
(1000001219,'5'),
(1000001220,'18'),
(1000001220,'6'),
(1000001221,'7'),
(1000001221,'19'),
(1000001222,'20'),
(1000001222,'27'),
(1000001222,'8'),
(1000001223,'9'),
(1000001224,'21'),
(1000001224,'22'),
(1000001225,'30'),
(1000001226,'10'),
(1000001226,'28'),
(1000001226,'23'),
(1000001227,'11'),
(1000001228,'12'),
(1000001228,'29'),
(1000001229,'13'),
(1000001229,'14'),
(1000001229,'15'),
(1000001230,'24'),
(1000001231,'25'),
(1000001232,'1'),
(1000001233,'2'),
(1000001233,'26'),
(1000001234,'16'),
(1000001235,'17'),
(1000001235,'3'),
(1000001235,'4'),
(1000001236,'5'),
(1000001237,'18'),
(1000001237,'6'),
(1000001237,'7'),
(1000001238,'19'),
(1000001238,'20'),
(1000001239,'27'),
(1000001239,'8'),
(1000001240,'9'),
(1000001241,'21'),
(1000001241,'22'),
(1000001241,'30'),
(1000001242,'10'),
(1000001242,'28'),
(1000001243,'23'),
(1000001244,'11'),
(1000001244,'12'),
(1000001245,'29'),
(1000001246,'13'),
(1000001246,'14'),
(1000001247,'15'),
(1000001248,'24'),
(1000001248,'25'),
(1000001249,'1'),
(1000001250,'2'),
(1000001250,'26'),
(1000001251,'16'),
(1000001251,'17'),
(1000001251,'3'),
(1000001252,'4'),
(1000001252,'5'),
(1000001252,'18'),
(1000001253,'6'),
(1000001254,'7'),
(1000001254,'19'),
(1000001254,'20'),
(1000001255,'27'),
(1000001255,'8'),
(1000001256,'9'),
(1000001256,'21'),
(1000001257,'22'),
(1000001258,'30'),
(1000001258,'10'),
(1000001258,'28'),
(1000001259,'23'),
(1000001259,'11'),
(1000001259,'12'),
(1000001260,'29'),
(1000001260,'13'),
(1000001261,'14'),
(1000001261,'15'),
(1000001261,'24'),
(1000001262,'25'),
(1000001263,'1'),
(1000001263,'2'),
(1000001264,'26'),
(1000001264,'16'),
(1000001264,'17'),
(1000001265,'3'),
(1000001265,'4'),
(1000001266,'5'),
(1000001267,'18'),
(1000001268,'6'),
(1000001268,'7'),
(1000001269,'19'),
(1000001270,'20'),
(1000001270,'27'),
(1000001271,'8'),
(1000001271,'9'),
(1000001271,'21'),
(1000001272,'22'),
(1000001272,'30'),
(1000001272,'10'),
(1000001273,'28'),
(1000001274,'23'),
(1000001274,'11'),
(1000001275,'12'),
(1000001275,'29'),
(1000001276,'13'),
(1000001277,'14'),
(1000001277,'15'),
(1000001278,'24'),
(1000001278,'25'),
(1000001279,'1'),
(1000001279,'2'),
(1000001280,'26'),
(1000001280,'16'),
(1000001281,'17'),
(1000001282,'3'),
(1000001282,'4'),
(1000001283,'5'),
(1000001284,'18'),
(1000001284,'6'),
(1000001285,'7'),
(1000001286,'19'),
(1000001287,'20'),
(1000001288,'27'),
(1000001288,'8'),
(1000001289,'9'),
(1000001289,'21'),
(1000001289,'22'),
(1000001290,'30'),
(1000001290,'10'),
(1000001291,'28'),
(1000001291,'23'),
(1000001291,'11'),
(1000001292,'12'),
(1000001292,'29'),
(1000001293,'13'),
(1000001293,'14'),
(1000001294,'15'),
(1000001294,'24'),
(1000001295,'25'),
(1000001296,'1'),
(1000001296,'2'),
(1000001297,'26'),
(1000001297,'16'),
(1000001298,'17'),
(1000001298,'3'),
(1000001298,'4'),
(1000001299,'5'),
(1000001300,'18'),
(1000001300,'6'),
(1000001300,'7'),
(1000001301,'19'),
(1000001301,'20'),
(1000001302,'27'),
(1000001302,'8'),
(1000001303,'9'),
(1000001304,'21'),
(1000001304,'22'),
(1000001305,'30'),
(1000001305,'10'),
(1000001306,'28'),
(1000001306,'23'),
(1000001307,'11'),
(1000001308,'12'),
(1000001309,'29'),
(1000001310,'13'),
(1000001310,'14'),
(1000001310,'15'),
(1000001311,'24'),
(1000001311,'25'),
(1000001311,'1'),
(1000001312,'2'),
(1000001313,'26'),
(1000001314,'16'),
(1000001314,'17'),
(1000001314,'3'),
(1000001315,'4'),
(1000001315,'5'),
(1000001315,'18'),
(1000001316,'6'),
(1000001316,'7'),
(1000001316,'19'),
(1000001317,'20'),
(1000001317,'27'),
(1000001317,'8'),
(1000001318,'9'),
(1000001318,'21'),
(1000001319,'22'),
(1000001319,'30'),
(1000001320,'10'),
(1000001320,'28'),
(1000001320,'23'),
(1000001321,'11'),
(1000001321,'12'),
(1000001322,'29'),
(1000001323,'13'),
(1000001324,'14'),
(1000001324,'15'),
(1000001324,'24'),
(1000001325,'25'),
(1000001325,'1'),
(1000001326,'2'),
(1000001327,'26'),
(1000001328,'16'),
(1000001329,'17'),
(1000001329,'3'),
(1000001330,'4'),
(1000001330,'5'),
(1000001331,'18'),
(1000001332,'6'),
(1000001333,'7'),
(1000001334,'19'),
(1000001334,'20'),
(1000001334,'27'),
(1000001335,'8'),
(1000001336,'9'),
(1000001337,'21'),
(1000001337,'22'),
(1000001337,'30'),
(1000001338,'10'),
(1000001338,'28'),
(1000001339,'23'),
(1000001339,'11'),
(1000001340,'12'),
(1000001341,'29'),
(1000001342,'13'),
(1000001342,'14'),
(1000001342,'15'),
(1000001343,'24'),
(1000001343,'25'),
(1000001344,'1'),
(1000001344,'2'),
(1000001345,'26'),
(1000001345,'16'),
(1000001346,'17'),
(1000001347,'3'),
(1000001347,'4'),
(1000001347,'5'),
(1000001348,'18'),
(1000001348,'6'),
(1000001348,'7'),
(1000001349,'19'),
(1000001349,'20'),
(1000001350,'27'),
(1000001351,'8'),
(1000001351,'9'),
(1000001351,'21'),
(1000001352,'22'),
(1000001352,'30'),
(1000001352,'10'),
(1000001353,'28'),
(1000001353,'23'),
(1000001353,'11'),
(1000001354,'12'),
(1000001355,'29'),
(1000001356,'13'),
(1000001356,'14'),
(1000001356,'15'),
